tanggal,stasiun,pm10,so2,co,o3,no2
2011-01-01,Jakarta Pusat,52,17,51,46,7
2011-01-01,Jakarta Utara,19,6,19,41,7
2011-01-01,Jakarta Barat,,,,,
2011-01-01,Jakarta Timur,,2,14,47,5
2011-01-01,Jakarta Selatan,,5,7,76,2
2011-01-02,Jakarta Pusat,35,15,15,47,10
2011-01-02,Jakarta Utara,17,4,12,41,11
2011-01-02,Jakarta Barat,,,,,
2011-01-02,Jakarta Timur,,3,10,36,5
2011-01-02,Jakarta Selatan,,5,6,42,2
2011-01-03,Jakarta Utara,21,5,25,22,15
2011-01-03,Jakarta Barat,,,,,
2011-01-03,Jakarta Timur,,2,35,18,11
2011-01-03,Jakarta Selatan,,5,12,31,5
2011-01-03,Jakarta Pusat,41,16,28,21,14
2011-01-04,Jakarta Pusat,34,17,19,26,11
2011-01-04,Jakarta Barat,,,,,
2011-01-04,Jakarta Timur,53,,,46,
2011-01-04,Jakarta Utara,17,8,16,44,9
2011-01-04,Jakarta Selatan,,5,5,77,2
2011-01-05,Jakarta Timur,59,,,38,
2011-01-05,Jakarta Utara,15,4,18,27,12
2011-01-05,Jakarta Pusat,34,12,21,35,10
2011-01-05,Jakarta Barat,,,,,
2011-01-05,Jakarta Selatan,56,,15,61,10
2011-01-06,Jakarta Selatan,53,,30,94,
2011-01-06,Jakarta Utara,16,5,17,29,19
2011-01-06,Jakarta Barat,,,,,
2011-01-06,Jakarta Pusat,28,11,30,42,16
2011-01-06,Jakarta Timur,57,,,57,17
2011-01-07,Jakarta Barat,,,,,
2011-01-07,Jakarta Utara,18,6,19,46,19
2011-01-07,Jakarta Timur,57,4,12,44,17
2011-01-07,Jakarta Pusat,37,17,28,30,13
2011-01-07,Jakarta Selatan,50,4,8,67,
2011-01-08,Jakarta Selatan,70,4,25,69,7
2011-01-08,Jakarta Pusat,57,22,37,23,14
2011-01-08,Jakarta Timur,70,6,37,28,14
2011-01-08,Jakarta Barat,,,,,
2011-01-08,Jakarta Utara,22,9,17,43,16
2011-01-09,Jakarta Barat,,,,,
2011-01-09,Jakarta Pusat,,20,34,31,13
2011-01-09,Jakarta Timur,70,3,31,37,18
2011-01-09,Jakarta Selatan,74,5,34,78,11
2011-01-09,Jakarta Utara,31,5,35,28,14
2011-01-10,Jakarta Pusat,,19,21,28,13
2011-01-10,Jakarta Barat,,,,,
2011-01-10,Jakarta Timur,54,3,8,41,7
2011-01-10,Jakarta Selatan,55,2,8,89,
2011-01-10,Jakarta Utara,16,9,16,29,13
2011-01-11,Jakarta Timur,52,4,14,41,12
2011-01-11,Jakarta Utara,19,5,14,35,9
2011-01-11,Jakarta Barat,,,,,
2011-01-11,Jakarta Selatan,49,3,8,63,
2011-01-11,Jakarta Pusat,46,18,24,31,11
2011-01-12,Jakarta Timur,60,4,14,31,15
2011-01-12,Jakarta Pusat,43,20,28,27,10
2011-01-12,Jakarta Utara,21,4,19,33,8
2011-01-12,Jakarta Barat,,,,,
2011-01-12,Jakarta Selatan,57,3,9,58,
2011-01-13,Jakarta Timur,71,5,24,51,18
2011-01-13,Jakarta Utara,22,4,20,44,14
2011-01-13,Jakarta Selatan,67,3,14,73,9
2011-01-13,Jakarta Barat,,,,,
2011-01-13,Jakarta Pusat,49,16,28,34,14
2011-01-14,Jakarta Selatan,70,2,9,55,3
2011-01-14,Jakarta Timur,61,3,11,50,10
2011-01-14,Jakarta Barat,,,,,
2011-01-14,Jakarta Pusat,44,15,24,37,13
2011-01-14,Jakarta Utara,21,6,18,39,17
2011-01-15,Jakarta Barat,,,,,
2011-01-15,Jakarta Timur,,,,,
2011-01-15,Jakarta Selatan,90,2,8,58,3
2011-01-15,Jakarta Utara,22,6,18,31,17
2011-01-15,Jakarta Pusat,39,15,26,32,15
2011-01-16,Jakarta Utara,16,4,14,22,8
2011-01-16,Jakarta Barat,,,,,
2011-01-16,Jakarta Timur,66,2,11,16,8
2011-01-16,Jakarta Pusat,32,13,16,22,8
2011-01-16,Jakarta Selatan,55,2,8,22,2
2011-01-17,Jakarta Selatan,55,2,12,46,5
2011-01-17,Jakarta Pusat,32,14,20,36,10
2011-01-17,Jakarta Utara,16,6,18,35,13
2011-01-17,Jakarta Timur,67,3,18,39,7
2011-01-17,Jakarta Barat,,,,,
2011-01-18,Jakarta Barat,,,,,
2011-01-18,Jakarta Selatan,80,2,29,48,6
2011-01-18,Jakarta Utara,17,7,19,38,14
2011-01-18,Jakarta Pusat,33,12,31,38,17
2011-01-18,Jakarta Timur,,,,,
2011-01-19,Jakarta Utara,26,7,26,40,16
2011-01-19,Jakarta Pusat,42,13,31,33,14
2011-01-19,Jakarta Selatan,,2,70,48,7
2011-01-19,Jakarta Barat,,,,,
2011-01-19,Jakarta Timur,,5,55,,
2011-01-20,Jakarta Pusat,49,16,25,31,14
2011-01-20,Jakarta Barat,,,,,
2011-01-20,Jakarta Timur,,3,26,,
2011-01-20,Jakarta Selatan,,2,24,44,8
2011-01-20,Jakarta Utara,23,5,18,36,16
2011-01-21,Jakarta Barat,,,,,
2011-01-21,Jakarta Timur,,3,43,47,13
2011-01-21,Jakarta Pusat,50,13,39,42,21
2011-01-21,Jakarta Utara,26,5,28,34,21
2011-01-21,Jakarta Selatan,,2,28,55,18
2011-01-22,Jakarta Pusat,58,16,44,36,16
2011-01-22,Jakarta Utara,37,7,38,31,17
2011-01-22,Jakarta Barat,,,,,
2011-01-22,Jakarta Timur,65,4,39,50,23
2011-01-22,Jakarta Selatan,,3,23,49,11
2011-01-23,Jakarta Selatan,,3,51,48,7
2011-01-23,Jakarta Pusat,50,14,40,39,12
2011-01-23,Jakarta Barat,,,,,
2011-01-23,Jakarta Utara,35,7,47,38,14
2011-01-23,Jakarta Timur,67,3,59,48,12
2011-01-24,Jakarta Barat,,,,,
2011-01-24,Jakarta Selatan,,2,25,44,5
2011-01-24,Jakarta Timur,63,4,32,36,17
2011-01-24,Jakarta Pusat,57,20,31,36,10
2011-01-24,Jakarta Utara,35,7,33,32,15
2011-01-25,Jakarta Barat,,,,,
2011-01-25,Jakarta Pusat,44,23,27,37,13
2011-01-25,Jakarta Selatan,,4,25,46,10
2011-01-25,Jakarta Utara,20,10,15,30,14
2011-01-25,Jakarta Timur,60,7,25,59,19
2011-01-26,Jakarta Utara,25,16,14,22,14
2011-01-26,Jakarta Timur,58,8,20,70,17
2011-01-26,Jakarta Barat,,,,,
2011-01-26,Jakarta Pusat,46,24,26,37,10
2011-01-26,Jakarta Selatan,,3,13,63,4
2011-01-27,Jakarta Utara,20,10,16,29,13
2011-01-27,Jakarta Barat,,,,,
2011-01-27,Jakarta Selatan,94,3,21,40,5
2011-01-27,Jakarta Pusat,42,20,24,37,11
2011-01-27,Jakarta Timur,71,4,26,33,19
2011-01-28,Jakarta Barat,,,,,
2011-01-28,Jakarta Pusat,43,14,31,37,11
2011-01-28,Jakarta Selatan,,2,28,36,6
2011-01-28,Jakarta Utara,,,,,
2011-01-28,Jakarta Timur,68,3,38,34,16
2011-01-29,Jakarta Selatan,,2,8,45,4
2011-01-29,Jakarta Timur,48,2,12,40,12
2011-01-29,Jakarta Pusat,24,14,23,33,10
2011-01-29,Jakarta Utara,,,,,
2011-01-29,Jakarta Barat,,,,,
2011-01-30,Jakarta Timur,56,3,15,40,11
2011-01-30,Jakarta Utara,,,,,
2011-01-30,Jakarta Pusat,37,16,25,31,13
2011-01-30,Jakarta Barat,,,,,
2011-01-30,Jakarta Selatan,,2,15,42,6
2011-01-31,Jakarta Selatan,,2,8,24,2
2011-01-31,Jakarta Timur,47,2,10,21,8
2011-01-31,Jakarta Barat,,,,,
2011-01-31,Jakarta Utara,,,,,
2011-01-31,Jakarta Pusat,30,14,22,19,8
2011-02-01,Jakarta Utara,,,,,
2011-02-01,Jakarta Barat,,,,,
2011-02-01,Jakarta Timur,56,3,18,29,8
2011-02-01,Jakarta Pusat,37,20,22,26,11
2011-02-01,Jakarta Selatan,,2,12,25,3
2011-02-02,Jakarta Barat,,,,,
2011-02-02,Jakarta Utara,29,6,24,28,13
2011-02-02,Jakarta Timur,60,4,23,40,16
2011-02-02,Jakarta Pusat,49,18,29,32,11
2011-02-02,Jakarta Selatan,,4,15,45,3
2011-02-03,Jakarta Timur,50,4,20,48,8
2011-02-03,Jakarta Selatan,,4,9,42,3
2011-02-03,Jakarta Barat,,,,,
2011-02-03,Jakarta Pusat,39,16,24,40,10
2011-02-03,Jakarta Utara,20,6,18,35,12
2011-02-04,Jakarta Pusat,41,16,27,33,12
2011-02-04,Jakarta Timur,49,4,15,34,16
2011-02-04,Jakarta Utara,22,5,13,31,13
2011-02-04,Jakarta Selatan,,5,10,42,6
2011-02-04,Jakarta Barat,,,,,
2011-02-05,Jakarta Pusat,44,14,39,29,14
2011-02-05,Jakarta Barat,,,,,
2011-02-05,Jakarta Utara,35,7,44,51,15
2011-02-05,Jakarta Selatan,,2,31,21,5
2011-02-05,Jakarta Timur,56,3,44,28,19
2011-02-06,Jakarta Timur,38,2,13,38,9
2011-02-06,Jakarta Barat,,,,,
2011-02-06,Jakarta Pusat,29,15,21,30,16
2011-02-06,Jakarta Selatan,,2,5,22,1
2011-02-06,Jakarta Utara,20,5,15,37,9
2011-02-07,Jakarta Barat,,,,,
2011-02-07,Jakarta Selatan,,3,10,37,4
2011-02-07,Jakarta Utara,24,7,19,34,13
2011-02-07,Jakarta Pusat,41,16,24,29,12
2011-02-07,Jakarta Timur,51,3,20,32,16
2011-02-08,Jakarta Timur,57,3,38,53,18
2011-02-08,Jakarta Pusat,39,17,28,44,11
2011-02-08,Jakarta Utara,20,7,16,34,17
2011-02-08,Jakarta Selatan,,3,19,42,9
2011-02-08,Jakarta Barat,,,,,
2011-02-09,Jakarta Utara,24,11,21,54,22
2011-02-09,Jakarta Selatan,,2,11,48,3
2011-02-09,Jakarta Timur,55,3,14,70,14
2011-02-09,Jakarta Pusat,41,19,30,50,12
2011-02-09,Jakarta Barat,,,,,
2011-02-10,Jakarta Utara,34,11,21,64,20
2011-02-10,Jakarta Selatan,,3,25,42,7
2011-02-10,Jakarta Pusat,54,18,30,48,15
2011-02-10,Jakarta Barat,,,,,
2011-02-10,Jakarta Timur,73,4,38,64,21
2011-02-11,Jakarta Utara,69,14,42,76,23
2011-02-11,Jakarta Selatan,,3,53,49,12
2011-02-11,Jakarta Pusat,78,21,49,96,24
2011-02-11,Jakarta Barat,,,,,
2011-02-11,Jakarta Timur,,5,55,99,21
2011-02-12,Jakarta Timur,81,3,34,82,18
2011-02-12,Jakarta Barat,,,,,
2011-02-12,Jakarta Utara,44,11,23,54,15
2011-02-12,Jakarta Pusat,60,17,33,48,14
2011-02-12,Jakarta Selatan,,3,79,85,11
2011-02-13,Jakarta Pusat,57,18,26,54,12
2011-02-13,Jakarta Utara,44,12,20,55,14
2011-02-13,Jakarta Selatan,,4,34,97,13
2011-02-13,Jakarta Timur,71,3,21,74,16
2011-02-13,Jakarta Barat,,,,,
2011-02-14,Jakarta Selatan,,3,23,49,9
2011-02-14,Jakarta Barat,,,,,
2011-02-14,Jakarta Timur,62,3,16,35,18
2011-02-14,Jakarta Pusat,41,12,39,42,13
2011-02-14,Jakarta Utara,35,8,22,43,14
2011-02-15,Jakarta Selatan,27,3,35,45,11
2011-02-15,Jakarta Barat,,,,,
2011-02-15,Jakarta Utara,32,10,31,32,13
2011-02-15,Jakarta Pusat,48,15,53,37,13
2011-02-15,Jakarta Timur,55,4,39,52,20
2011-02-16,Jakarta Selatan,31,3,30,47,9
2011-02-16,Jakarta Barat,,,,,
2011-02-16,Jakarta Timur,65,3,39,35,22
2011-02-16,Jakarta Pusat,51,16,21,34,13
2011-02-16,Jakarta Utara,37,8,25,39,17
2011-02-17,Jakarta Pusat,46,22,33,34,16
2011-02-17,Jakarta Barat,,,,,
2011-02-17,Jakarta Selatan,20,3,31,61,9
2011-02-17,Jakarta Timur,59,3,23,53,17
2011-02-17,Jakarta Utara,30,8,22,35,18
2011-02-18,Jakarta Pusat,36,18,24,39,13
2011-02-18,Jakarta Utara,20,6,15,31,16
2011-02-18,Jakarta Selatan,21,2,18,58,7
2011-02-18,Jakarta Timur,59,2,22,50,17
2011-02-18,Jakarta Barat,,,,,
2011-02-19,Jakarta Timur,59,3,33,42,21
2011-02-19,Jakarta Pusat,46,21,26,33,12
2011-02-19,Jakarta Utara,26,11,13,29,14
2011-02-19,Jakarta Barat,,,,,
2011-02-19,Jakarta Selatan,19,2,31,45,10
2011-02-20,Jakarta Barat,,,,,
2011-02-20,Jakarta Selatan,15,2,11,45,4
2011-02-20,Jakarta Utara,27,8,19,36,14
2011-02-20,Jakarta Timur,53,3,21,46,17
2011-02-20,Jakarta Pusat,42,17,24,46,13
2011-02-21,Jakarta Pusat,43,16,22,40,13
2011-02-21,Jakarta Timur,55,3,17,48,9
2011-02-21,Jakarta Barat,,,,,
2011-02-21,Jakarta Utara,25,11,13,37,17
2011-02-21,Jakarta Selatan,21,3,12,56,4
2011-02-22,Jakarta Selatan,17,2,33,52,8
2011-02-22,Jakarta Utara,26,7,9,44,12
2011-02-22,Jakarta Timur,68,3,47,44,19
2011-02-22,Jakarta Barat,,,,,
2011-02-22,Jakarta Pusat,46,15,23,42,12
2011-02-23,Jakarta Barat,,,,,
2011-02-23,Jakarta Timur,63,3,27,43,14
2011-02-23,Jakarta Selatan,15,3,22,59,6
2011-02-23,Jakarta Utara,31,7,22,35,17
2011-02-23,Jakarta Pusat,47,15,26,41,11
2011-02-24,Jakarta Selatan,26,3,8,28,6
2011-02-24,Jakarta Barat,,,,,
2011-02-24,Jakarta Utara,32,6,16,32,14
2011-02-24,Jakarta Timur,47,3,23,47,19
2011-02-24,Jakarta Pusat,,,,,
2011-02-25,Jakarta Barat,,,,,
2011-02-25,Jakarta Selatan,21,3,22,36,7
2011-02-25,Jakarta Pusat,,,,,
2011-02-25,Jakarta Utara,28,9,11,31,13
2011-02-25,Jakarta Timur,61,4,23,42,18
2011-02-26,Jakarta Selatan,20,2,18,33,6
2011-02-26,Jakarta Barat,,,,,
2011-02-26,Jakarta Timur,62,3,23,44,18
2011-02-26,Jakarta Utara,23,7,14,31,12
2011-02-26,Jakarta Pusat,39,14,24,29,12
2011-02-27,Jakarta Barat,,,,,
2011-02-27,Jakarta Pusat,39,15,32,26,15
2011-02-27,Jakarta Utara,27,6,23,25,18
2011-02-27,Jakarta Timur,55,3,38,27,22
2011-02-27,Jakarta Selatan,24,2,23,25,6
2011-02-28,Jakarta Barat,,,,,
2011-02-28,Jakarta Timur,52,3,33,21,16
2011-02-28,Jakarta Selatan,19,2,17,22,4
2011-02-28,Jakarta Pusat,39,16,29,22,12
2011-02-28,Jakarta Utara,28,6,27,17,13
2011-03-01,Jakarta Utara,16,4,24,42,8
2011-03-01,Jakarta Pusat,21,14,26,21,8
2011-03-01,Jakarta Timur,40,2,10,19,7
2011-03-01,Jakarta Barat,,,,,
2011-03-01,Jakarta Selatan,15,2,6,13,
2011-03-02,Jakarta Selatan,20,2,8,16,
2011-03-02,Jakarta Utara,20,5,13,32,8
2011-03-02,Jakarta Pusat,28,15,21,34,7
2011-03-02,Jakarta Barat,,,,,
2011-03-02,Jakarta Timur,40,2,10,20,7
2011-03-03,Jakarta Selatan,20,2,15,22,3
2011-03-03,Jakarta Timur,53,3,17,36,6
2011-03-03,Jakarta Utara,20,5,13,28,8
2011-03-03,Jakarta Pusat,29,16,22,25,9
2011-03-03,Jakarta Barat,,,,,
2011-03-04,Jakarta Utara,20,5,20,42,12
2011-03-04,Jakarta Pusat,32,18,27,26,13
2011-03-04,Jakarta Barat,,,,,
2011-03-04,Jakarta Timur,51,2,13,24,8
2011-03-04,Jakarta Selatan,17,2,8,18,3
2011-03-05,Jakarta Utara,22,5,19,35,11
2011-03-05,Jakarta Selatan,23,2,7,17,3
2011-03-05,Jakarta Barat,,,,,
2011-03-05,Jakarta Timur,40,3,11,25,7
2011-03-05,Jakarta Pusat,33,17,35,33,13
2011-03-06,Jakarta Pusat,30,14,24,23,6
2011-03-06,Jakarta Utara,21,5,19,31,8
2011-03-06,Jakarta Barat,,,,,
2011-03-06,Jakarta Timur,51,3,18,15,10
2011-03-06,Jakarta Selatan,22,2,16,12,3
2011-03-07,Jakarta Selatan,23,2,17,30,4
2011-03-07,Jakarta Utara,18,4,14,23,9
2011-03-07,Jakarta Timur,54,3,15,25,11
2011-03-07,Jakarta Pusat,25,14,17,17,5
2011-03-07,Jakarta Barat,,,,,
2011-03-08,Jakarta Pusat,27,14,20,30,9
2011-03-08,Jakarta Timur,43,2,7,20,6
2011-03-08,Jakarta Selatan,21,2,7,14,
2011-03-08,Jakarta Barat,,,,,
2011-03-08,Jakarta Utara,17,4,12,33,9
2011-03-09,Jakarta Timur,51,3,9,31,9
2011-03-09,Jakarta Pusat,31,17,25,33,11
2011-03-09,Jakarta Utara,20,7,14,47,17
2011-03-09,Jakarta Selatan,21,2,7,19,4
2011-03-09,Jakarta Barat,,,,,
2011-03-10,Jakarta Timur,54,3,17,43,17
2011-03-10,Jakarta Selatan,21,2,10,30,4
2011-03-10,Jakarta Pusat,32,17,26,30,14
2011-03-10,Jakarta Barat,,,,,
2011-03-10,Jakarta Utara,20,7,17,32,11
2011-03-11,Jakarta Timur,58,3,13,48,10
2011-03-11,Jakarta Pusat,28,15,24,37,10
2011-03-11,Jakarta Selatan,24,3,8,52,3
2011-03-11,Jakarta Utara,21,11,14,29,11
2011-03-11,Jakarta Barat,,,,,
2011-03-12,Jakarta Timur,54,3,18,38,13
2011-03-12,Jakarta Barat,,,,,
2011-03-12,Jakarta Utara,24,9,16,60,28
2011-03-12,Jakarta Selatan,19,2,15,25,4
2011-03-12,Jakarta Pusat,35,17,26,54,10
2011-03-13,Jakarta Pusat,46,17,25,45,11
2011-03-13,Jakarta Barat,,,,,
2011-03-13,Jakarta Utara,,8,16,39,15
2011-03-13,Jakarta Selatan,25,3,18,47,6
2011-03-13,Jakarta Timur,67,4,19,42,12
2011-03-14,Jakarta Pusat,56,15,47,24,11
2011-03-14,Jakarta Timur,68,3,32,22,11
2011-03-14,Jakarta Utara,,7,47,31,17
2011-03-14,Jakarta Selatan,37,2,22,21,5
2011-03-14,Jakarta Barat,,,,,
2011-03-15,Jakarta Utara,,8,20,72,13
2011-03-15,Jakarta Pusat,41,16,25,37,12
2011-03-15,Jakarta Selatan,17,3,12,21,4
2011-03-15,Jakarta Timur,71,4,18,45,17
2011-03-15,Jakarta Barat,,,,,
2011-03-16,Jakarta Pusat,39,19,35,53,18
2011-03-16,Jakarta Utara,,6,27,96,12
2011-03-16,Jakarta Barat,,,,,
2011-03-16,Jakarta Selatan,16,3,12,37,7
2011-03-16,Jakarta Timur,59,3,17,57,18
2011-03-17,Jakarta Selatan,22,3,17,111,8
2011-03-17,Jakarta Utara,,15,33,67,17
2011-03-17,Jakarta Barat,,,,,
2011-03-17,Jakarta Pusat,57,19,54,73,21
2011-03-17,Jakarta Timur,67,4,15,84,17
2011-03-18,Jakarta Utara,,13,20,72,15
2011-03-18,Jakarta Barat,,,,,
2011-03-18,Jakarta Pusat,55,22,33,47,20
2011-03-18,Jakarta Selatan,20,4,17,79,20
2011-03-18,Jakarta Timur,87,3,21,52,18
2011-03-19,Jakarta Timur,78,3,29,60,13
2011-03-19,Jakarta Selatan,16,3,28,76,10
2011-03-19,Jakarta Pusat,56,17,26,71,23
2011-03-19,Jakarta Utara,,8,15,65,14
2011-03-19,Jakarta Barat,,,,,
2011-03-20,Jakarta Pusat,54,15,32,50,22
2011-03-20,Jakarta Selatan,16,3,16,83,10
2011-03-20,Jakarta Utara,,8,25,62,17
2011-03-20,Jakarta Barat,,,,,
2011-03-20,Jakarta Timur,61,3,28,72,23
2011-03-21,Jakarta Barat,,,,,
2011-03-21,Jakarta Pusat,31,13,20,38,8
2011-03-21,Jakarta Utara,,4,19,25,11
2011-03-21,Jakarta Timur,52,2,14,29,9
2011-03-21,Jakarta Selatan,23,2,12,21,2
2011-03-22,Jakarta Timur,52,2,10,28,6
2011-03-22,Jakarta Barat,,,,,
2011-03-22,Jakarta Selatan,21,2,9,18,2
2011-03-22,Jakarta Pusat,29,15,22,22,8
2011-03-22,Jakarta Utara,17,5,17,33,9
2011-03-23,Jakarta Pusat,25,15,22,22,7
2011-03-23,Jakarta Utara,17,5,15,26,9
2011-03-23,Jakarta Timur,51,2,8,17,7
2011-03-23,Jakarta Selatan,19,2,6,14,
2011-03-23,Jakarta Barat,,,,,
2011-03-24,Jakarta Utara,14,6,12,26,8
2011-03-24,Jakarta Pusat,22,14,18,24,7
2011-03-24,Jakarta Timur,47,3,8,21,8
2011-03-24,Jakarta Selatan,22,2,7,16,2
2011-03-24,Jakarta Barat,,,,,
2011-03-25,Jakarta Selatan,26,2,11,18,3
2011-03-25,Jakarta Timur,47,3,15,32,6
2011-03-25,Jakarta Pusat,22,14,22,27,10
2011-03-25,Jakarta Utara,17,5,15,35,14
2011-03-25,Jakarta Barat,,,,,
2011-03-26,Jakarta Pusat,25,13,22,27,8
2011-03-26,Jakarta Utara,16,4,12,38,7
2011-03-26,Jakarta Barat,,,,,
2011-03-26,Jakarta Selatan,19,2,8,17,3
2011-03-26,Jakarta Timur,51,3,10,24,7
2011-03-27,Jakarta Pusat,23,13,19,28,9
2011-03-27,Jakarta Timur,55,3,16,21,7
2011-03-27,Jakarta Utara,18,8,16,33,15
2011-03-27,Jakarta Selatan,20,2,18,19,3
2011-03-27,Jakarta Barat,,,,,
2011-03-28,Jakarta Pusat,21,13,15,21,8
2011-03-28,Jakarta Timur,44,2,5,18,5
2011-03-28,Jakarta Selatan,20,2,4,17,
2011-03-28,Jakarta Utara,18,5,13,29,13
2011-03-28,Jakarta Barat,,,,,
2011-03-29,Jakarta Timur,45,3,10,13,8
2011-03-29,Jakarta Pusat,21,13,16,20,6
2011-03-29,Jakarta Barat,,,,,
2011-03-29,Jakarta Utara,16,4,13,25,6
2011-03-29,Jakarta Selatan,19,2,8,12,
2011-03-30,Jakarta Utara,18,4,13,28,8
2011-03-30,Jakarta Barat,,,,,
2011-03-30,Jakarta Timur,49,3,10,14,5
2011-03-30,Jakarta Selatan,18,2,7,12,2
2011-03-30,Jakarta Pusat,23,14,19,23,6
2011-03-31,Jakarta Selatan,15,2,4,13,
2011-03-31,Jakarta Barat,,,,,
2011-03-31,Jakarta Timur,42,3,7,14,7
2011-03-31,Jakarta Pusat,25,14,21,21,7
2011-03-31,Jakarta Utara,16,4,13,24,6
2011-04-01,Jakarta Selatan,25,2,6,11,
2011-04-01,Jakarta Timur,45,2,10,14,7
2011-04-01,Jakarta Utara,16,5,16,21,8
2011-04-01,Jakarta Pusat,23,14,20,21,5
2011-04-01,Jakarta Barat,,,,,
2011-04-02,Jakarta Barat,,,,,
2011-04-02,Jakarta Timur,48,2,7,17,6
2011-04-02,Jakarta Pusat,24,15,24,25,6
2011-04-02,Jakarta Utara,16,5,18,26,6
2011-04-02,Jakarta Selatan,19,2,4,12,
2011-04-03,Jakarta Barat,,,,,
2011-04-03,Jakarta Pusat,24,14,13,22,7
2011-04-03,Jakarta Selatan,15,2,6,16,
2011-04-03,Jakarta Timur,52,2,8,18,6
2011-04-03,Jakarta Utara,18,4,13,28,5
2011-04-04,Jakarta Barat,,,,,
2011-04-04,Jakarta Utara,19,5,15,39,12
2011-04-04,Jakarta Selatan,13,2,9,23,3
2011-04-04,Jakarta Pusat,26,15,23,25,9
2011-04-04,Jakarta Timur,50,3,13,24,10
2011-04-05,Jakarta Timur,59,3,9,22,10
2011-04-05,Jakarta Pusat,23,14,21,27,7
2011-04-05,Jakarta Selatan,20,2,5,17,
2011-04-05,Jakarta Utara,19,6,12,42,15
2011-04-05,Jakarta Barat,,,,,
2011-04-06,Jakarta Timur,52,2,7,21,8
2011-04-06,Jakarta Pusat,25,14,19,23,6
2011-04-06,Jakarta Barat,,,,,
2011-04-06,Jakarta Selatan,21,3,6,22,3
2011-04-06,Jakarta Utara,19,5,12,38,6
2011-04-07,Jakarta Timur,57,3,9,19,7
2011-04-07,Jakarta Selatan,14,3,10,16,3
2011-04-07,Jakarta Barat,,,,,
2011-04-07,Jakarta Pusat,27,15,20,28,8
2011-04-07,Jakarta Utara,19,6,13,36,12
2011-04-08,Jakarta Timur,55,4,13,32,12
2011-04-08,Jakarta Barat,,,,,
2011-04-08,Jakarta Pusat,40,18,24,44,12
2011-04-08,Jakarta Selatan,19,3,11,35,5
2011-04-08,Jakarta Utara,31,11,16,32,15
2011-04-09,Jakarta Barat,,,,,
2011-04-09,Jakarta Timur,,4,26,27,14
2011-04-09,Jakarta Pusat,50,21,33,24,12
2011-04-09,Jakarta Selatan,25,3,14,31,5
2011-04-09,Jakarta Utara,31,10,21,44,11
2011-04-10,Jakarta Utara,29,10,17,49,19
2011-04-10,Jakarta Barat,,,,,
2011-04-10,Jakarta Pusat,39,16,23,42,9
2011-04-10,Jakarta Selatan,18,3,20,26,4
2011-04-10,Jakarta Timur,,3,18,29,10
2011-04-11,Jakarta Selatan,25,3,15,30,9
2011-04-11,Jakarta Utara,38,9,12,35,14
2011-04-11,Jakarta Barat,,,,,
2011-04-11,Jakarta Pusat,40,17,30,37,11
2011-04-11,Jakarta Timur,,5,18,44,23
2011-04-12,Jakarta Selatan,25,4,18,70,9
2011-04-12,Jakarta Pusat,62,22,35,67,19
2011-04-12,Jakarta Barat,,,,,
2011-04-12,Jakarta Timur,72,7,29,81,16
2011-04-12,Jakarta Utara,55,11,31,90,18
2011-04-13,Jakarta Barat,,,,,
2011-04-13,Jakarta Selatan,15,5,20,116,10
2011-04-13,Jakarta Timur,80,5,21,51,25
2011-04-13,Jakarta Pusat,62,23,32,82,17
2011-04-13,Jakarta Utara,59,17,24,115,17
2011-04-14,Jakarta Pusat,62,22,35,55,26
2011-04-14,Jakarta Selatan,61,4,27,71,13
2011-04-14,Jakarta Timur,,,,,
2011-04-14,Jakarta Barat,,,,,
2011-04-14,Jakarta Utara,65,18,21,74,18
2011-04-15,Jakarta Barat,,,,,
2011-04-15,Jakarta Pusat,65,23,36,76,23
2011-04-15,Jakarta Timur,,6,27,99,20
2011-04-15,Jakarta Utara,56,15,22,94,15
2011-04-15,Jakarta Selatan,57,4,25,122,9
2011-04-16,Jakarta Selatan,58,6,21,171,12
2011-04-16,Jakarta Utara,59,18,28,110,22
2011-04-16,Jakarta Timur,84,5,22,90,23
2011-04-16,Jakarta Barat,,,,,
2011-04-16,Jakarta Pusat,58,18,29,88,34
2011-04-17,Jakarta Timur,77,4,51,89,15
2011-04-17,Jakarta Barat,,,,,
2011-04-17,Jakarta Pusat,,,,,
2011-04-17,Jakarta Utara,61,14,30,126,19
2011-04-17,Jakarta Selatan,48,4,25,69,8
2011-04-18,Jakarta Barat,,,,,
2011-04-18,Jakarta Selatan,42,5,14,124,8
2011-04-18,Jakarta Pusat,,,,,
2011-04-18,Jakarta Timur,64,3,22,109,18
2011-04-18,Jakarta Utara,60,15,29,91,26
2011-04-19,Jakarta Utara,55,15,28,91,19
2011-04-19,Jakarta Barat,,,,,
2011-04-19,Jakarta Pusat,,17,,70,
2011-04-19,Jakarta Timur,65,4,38,116,29
2011-04-19,Jakarta Selatan,50,4,22,128,14
2011-04-20,Jakarta Timur,77,4,28,84,19
2011-04-20,Jakarta Barat,,,,,
2011-04-20,Jakarta Selatan,57,5,26,85,15
2011-04-20,Jakarta Utara,67,13,19,89,12
2011-04-20,Jakarta Pusat,64,23,30,66,19
2011-04-21,Jakarta Timur,62,6,22,94,27
2011-04-21,Jakarta Selatan,,,,,
2011-04-21,Jakarta Utara,55,12,26,66,22
2011-04-21,Jakarta Pusat,58,19,33,51,21
2011-04-21,Jakarta Barat,,,,,
2011-04-22,Jakarta Timur,66,6,21,122,22
